A,P,B,R,v
0.298474019753,0.0548302133423,0.725444807897,0.265468211711,0.13549822228
0.299149031289,0.0751165970128,0.735560169981,0.254490822434,0.134650576846
0.294611108265,0.0659524197918,0.772487387846,0.211226408087,0.138777448718
0.293897575801,0.118058367897,0.780354432206,0.202533451011,0.129669590546
0.297235344948,0.0158926684666,0.659123701867,0.343581753644,0.13162814785
0.293211095464,0.0895152730579,0.760159606794,0.22351882642,0.136029402799
0.288056844784,0.0601516503043,0.796849138557,0.182460526857,0.132221866967
0.283677303285,0.0381403299467,0.764012164612,0.213642141693,0.133496006387
0.285355114171,0.015367590316,0.777775371927,0.200409362872,0.127204618542
0.285559686792,0.0811817333821,0.751233546826,0.228227665628,0.130267806502
0.287081238383,0.0492138803331,0.723298449468,0.25956404918,0.129477365046
0.288928082162,0.0353001823732,0.68892786835,0.300117159061,0.131328762151
0.285173224992,0.0252205334556,0.673046722791,0.315576337748,0.136606393425
0.279413245249,0.0037618215836,0.737217612342,0.239103527008,0.129748161465
0.281877409919,0.146920369893,0.663957006902,0.323417335657,0.122548028879
0.285478583106,0.118469818418,0.714237929273,0.268460663236,0.126815351501
0.286054946646,0.0855988051456,0.725141833553,0.256787602881,0.137686776112
0.276656182215,0.00504822711433,0.729160784837,0.245810109241,0.135795404003
0.273259256598,0.0356275142185,0.775049867971,0.19642424511,0.11793519948
0.277800279712,-0.00483701761022,0.747513537264,0.227194611541,0.116798301782
0.279585323617,0.00895773953919,0.628360761345,0.36458208101,0.134752568858
0.275345696293,0.0234959307724,0.736197244711,0.237458771115,0.129090424061
0.275026511699,0.0015188961393,0.747875429634,0.225053530872,0.126515904887
0.271990908848,0.0511220383687,0.737306684856,0.234066417267,0.130945160523
0.268895217635,0.0443546728887,0.649375720382,0.328713869049,0.128033672017
0.269797177484,0.058230192727,0.756917088007,0.212582849064,0.12504877245
0.267132156052,0.0788845020935,0.727410047629,0.241107646996,0.127034850538
0.270918335177,0.0385831471053,0.708288614807,0.264104161155,0.121413699568
0.273757922873,0.128973956752,0.688861055692,0.287697806457,0.124744817063
0.273640636045,0.111104514049,0.779284498102,0.192431108767,0.132921518433
0.265896228658,0.0376750785701,0.805352951122,0.163420364362,0.129101363047
0.263974638211,0.0500458312814,0.728961520454,0.237355506302,0.121741906444
0.264721879309,0.114395924295,0.778422748234,0.188465983416,0.120484735698
0.264426291528,0.0618517867985,0.697162659154,0.271191170198,0.128011625314
0.267036195067,0.0195034320893,0.736351599371,0.231789051781,0.125427740344
0.264721375198,0.129137139289,0.794163143231,0.173403268484,0.128032335696
0.264828197668,0.0643060921801,0.80869845714,0.15980531784,0.124713275764
0.264820698746,-0.0139161367491,0.754263961995,0.21224686074,0.123714653406
0.258740169911,0.0444619611927,0.757003845666,0.205918024437,0.127722751306
0.256774553464,0.0215889231298,0.768332662796,0.193837053638,0.124062135863
0.260248423425,0.0101603743031,0.744301709235,0.219377992942,0.123501357295
0.262470667427,0.0856613106201,0.765639966077,0.19964118897,0.128132009403
0.256544224242,0.0439199758614,0.742484032832,0.218863604412,0.128497314164
0.255607020834,0.00387375932777,0.755277723736,0.205752402727,0.128637533365
0.256129400858,0.0720516924882,0.761093730291,0.200428951777,0.122724837023
0.256993450566,0.107314246947,0.649702966426,0.31739052795,0.12089519021
0.255528466124,0.0684387575036,0.799329493798,0.164158979986,0.119798051897
0.254105716641,0.0604625671619,0.740353349066,0.219435499772,0.126069702059
0.252130118248,-0.0607004785921,0.77653440354,0.183562562821,0.119833755697
0.25224513954,-0.0026501168806,0.745063235327,0.213660546543,0.116475538964
0.253219868762,-0.01831867663,0.749471281457,0.20996569608,0.120330169042
0.255720662548,0.0560604074318,0.714697587364,0.246317570196,0.121638462593
0.255209515377,-0.0160174122445,0.696522997656,0.264818257927,0.122010889915
0.25675144476,0.00403022126522,0.683671291261,0.279688845912,0.123755590136
0.253943687893,-0.00785229105175,0.696905612097,0.263456907974,0.12408903263
0.248450053677,0.0124664434482,0.798873141872,0.161257413901,0.118733496109
0.247182720416,-0.0392614201487,0.825894693244,0.136866231871,0.118966598632
0.247226672218,0.0107269172807,0.731154713324,0.224072611723,0.119654498769
0.248343892985,-0.0167294873799,0.782875977792,0.17572963921,0.119977760235
0.246548262885,-0.0262682940713,0.77559302722,0.181493927568,0.118503716982
0.246131818532,0.00361447367233,0.808677787254,0.151477664831,0.115012856442
0.249800075157,-0.0183312612128,0.752103483787,0.205379934561,0.120756678472
0.245964391314,-0.0322715628055,0.777024927996,0.179872031916,0.119101986448
0.243084773504,0.0506001943379,0.798988610517,0.158666083978,0.11371191159
0.244215126359,0.046342140926,0.766202816788,0.188910604476,0.111163574016
0.242209555337,-0.00131362927108,0.779685298828,0.175510104988,0.121151963514
0.243103557249,-0.00149299134354,0.810626333096,0.148450020989,0.117647520727
0.240651781555,0.0117143670078,0.745173580142,0.206499024439,0.112338526748
0.24169670449,0.012225742803,0.747658315046,0.204784884156,0.115539375246
0.242963383073,0.0464023992368,0.798343819958,0.159180685116,0.111937318238
0.239305648127,0.0353692165322,0.843773384347,0.118789998011,0.110986122419
0.240106708558,-0.0603109265248,0.778313024011,0.175672137773,0.105611341116
0.241000776468,-0.0199555051903,0.854253939481,0.110703966524,0.110322470118
0.240271254284,-0.0446919862489,0.782423349325,0.172062829096,0.113019841923
0.23649219629,-0.0646573811864,0.746944401567,0.202355678694,0.114012447465
0.23787168474,-0.0994755807656,0.756462033818,0.194358140903,0.110834764135
0.237689867822,0.0441848333271,0.773622985903,0.178641892502,0.111568519081
0.236985965293,-0.00761570383169,0.821515070082,0.136554542114,0.114248490409
0.236360033218,0.0103357973792,0.789731916633,0.16365910221,0.113726982069
0.236122545387,0.0480558347632,0.813609426328,0.142908567904,0.109417406693
0.235906699817,0.0458614151553,0.763064818092,0.187224788928,0.10982647887
0.234809045736,-0.0490940113694,0.785964540834,0.166215653633,0.112547901193
0.236671400818,0.0293344623527,0.808186898143,0.147779133868,0.110545834895
0.235583286411,0.043214134069,0.752482728286,0.196706820655,0.10669800984
0.234511141461,-0.0126789853573,0.784947511961,0.166962980927,0.110434935908
0.236462184882,0.0402154436647,0.741943786885,0.206996278018,0.110180595525
0.238104866748,0.0669856794553,0.773270087726,0.179176996719,0.112724432595
0.237305477584,0.0477884007574,0.810638784226,0.145948062557,0.105207317999
0.235401010169,-0.0986530577074,0.75503384012,0.194261699814,0.111141953031
0.235341676971,-0.0728963758603,0.808565768652,0.146879641936,0.114162386723
0.23588181378,-0.0478130050555,0.78564310659,0.167023386244,0.110938811874
0.238473057801,-0.0443137896737,0.807642377247,0.149031097868,0.106159687609
0.23453771503,0.0140913018548,0.78814852664,0.164169601851,0.108319735873
0.234163600964,-0.0796881454258,0.786421559061,0.165500076022,0.113867142901
0.235012725175,-0.00773519344499,0.75312521168,0.195788083479,0.116596301013
0.236864516332,-0.0909863354466,0.783088750814,0.169766611789,0.108847530936
0.235157733381,-0.0969925872465,0.806795255723,0.148314703706,0.108627683232
0.234182206225,-0.0648585124238,0.810305136271,0.14489963097,0.104573433359
0.233792599385,-0.0439644096723,0.83895747447,0.120823461423,0.109393559055
0.23439285698,-0.144007186231,0.836095856018,0.123392166814,0.107714184514
0.23674955289,-0.134677569125,0.844375375682,0.117409570987,0.106614666683
0.236248154115,-0.00304964722783,0.811146428518,0.145062494685,0.106025491125
0.234459164429,-0.0392092710301,0.73727414511,0.210135110403,0.109755203708
0.234675476077,-0.0810792024649,0.788351809068,0.164058194769,0.108456113324
0.23404882923,-0.153342907875,0.741016175848,0.206395509093,0.110341280163
0.237174764727,-0.028405023956,0.834520923399,0.125714206046,0.115106283537
0.233761618182,-0.035101088682,0.774877227018,0.175479088233,0.105716985457
0.233768739737,-0.0346693724056,0.774521431435,0.17579875785,0.105712837656
0.232603877039,-0.107077527253,0.808745816973,0.145548499421,0.112340094224
0.232606115166,-0.107339519604,0.808917426765,0.145403979226,0.112340081154
0.239281276627,-0.0631121158913,0.851521258013,0.112390090533,0.115375927741
0.243985037402,-0.103264888964,0.748161608641,0.205675825811,0.115052358899
0.241636804435,-0.00610118185169,0.730250298245,0.221336066915,0.114451741245
0.237578094517,-0.0708753890321,0.705906793069,0.242316866951,0.111964345012
0.23825575756,-0.0658859503857,0.692452976873,0.25621321689,0.114068600954
0.239423481307,-0.0955082822351,0.810110337834,0.147311414898,0.117006568036
0.240771132472,-0.0764859590297,0.759182665923,0.193490573855,0.121091989424
0.241070246852,-0.1582719234,0.790970736284,0.16482727373,0.118623874474
0.238390615858,-0.152661042248,0.81625082508,0.141600820857,0.115950608726
0.237495815575,-0.182835071081,0.785137484164,0.168263459934,0.117310511307
0.237988326786,-0.159805027232,0.779938851679,0.173134051596,0.119600419462
0.240435774006,-0.00264420524014,0.796055815315,0.160026388455,0.120339554971
0.241050846848,-0.0965247224947,0.759623388493,0.193240566022,0.111276086954
0.238783489713,-0.136850941028,0.726854326741,0.222754946483,0.112735230533
0.240264209861,-0.16101908211,0.738793374753,0.212295640345,0.112075249256
0.243125714819,-0.099630513112,0.76848194383,0.186213098889,0.116165085097
0.243109015789,-0.0794906151184,0.758850076937,0.195122476933,0.114011707743
0.242607050366,-0.0993568881243,0.730188488307,0.222022072746,0.111421289115
0.241412890012,-0.0456864587325,0.801548588763,0.155644833486,0.114119245381
0.24011612741,-0.0886106645586,0.756934580451,0.19519983429,0.113680489315
0.244763478117,-0.0606482211898,0.813414807725,0.146727900622,0.122784194922
0.252039376052,-0.0977612487957,0.769164128491,0.190434351929,0.126279012777
0.254091527633,-0.102878732545,0.700907983618,0.259388986745,0.122954404054
0.251347221185,-0.141352831075,0.723788865986,0.234087104027,0.106644184008
