row,pixel,A,B,R,v
0,0,0.778676589549,0.46589204496,3.05325760105,0.121832521603
0,1,0.790408264554,0.530142439242,2.69810476036,0.109305429069
0,2,0.778114115866,0.425237241621,3.40840615691,0.121793514623
0,3,0.77889383574,0.384975203828,3.82013104805,0.123123378145
0,4,0.782711833947,0.424644246671,3.49606577326,0.126377131324
0,5,0.775234574922,0.402028807541,3.57921716979,0.12314461047
0,6,0.769800121572,0.369187129293,3.80871093607,0.126621117426
0,7,0.780078373226,0.422784621744,3.4662962129,0.118257802381
0,8,0.783887013679,0.439592805373,3.37551901902,0.115844196167
0,9,0.782149539436,0.459091187967,3.1684039944,0.117377382588
0,10,0.783444564428,0.450779688104,3.26474213581,0.110508735102
0,11,0.789519097008,0.420692449751,3.6637271218,0.129221150706
0,12,0.788426793644,0.492901840605,2.97601367167,0.120151566567
0,13,0.785363257341,0.438445359376,3.41262269153,0.126757086408
0,14,0.785008511908,0.381784693594,3.97792118569,0.132193139229
0,15,0.792667753185,0.393177581892,4.01760020829,0.12761384655
0,16,0.794917553002,0.441433325299,3.56282422868,0.133638729869
0,17,0.784146685472,0.517884468338,2.70605906369,0.112370427304
0,18,0.784992489417,0.539824505905,2.54671309653,0.112653470583
0,19,0.784608232307,0.523862348108,2.66531028944,0.104317919437
0,20,0.791126375552,0.439132498996,3.51243137738,0.108232704293
0,21,0.796209871305,0.472026586406,3.29418504395,0.101637706369
0,22,0.782775337335,0.443023776039,3.32421435175,0.0933590830425
0,23,0.788970342633,0.499937192416,2.92487407525,0.085901207751
0,24,0.792340515198,0.50894666769,2.9017027619,0.07449842557
0,25,0.800307167235,0.523861050416,2.90236025446,0.0594156275326
0,26,0.793547252747,0.371645824548,4.2804211396,0.0496704715257
0,27,0.784756331208,0.374063886651,4.05693745159,0.0476704813716
0,28,0.786673440014,0.452433122255,3.3054451754,0.0403123835504
0,29,0.796154464142,0.51305195186,2.92758436982,0.0172378480875
0,30,0.785564414603,0.241682597264,5.88404144147,0.0161133282923
0,31,0.786543859649,0.357475241732,4.28429851035,0.0332168937531
0,32,0.790457640077,0.146885946394,8.15715184016,0.0433145478633
0,33,0.786589800443,0.33423425091,4.56538451024,0.0473620127364
0,34,0.792126153957,0.520926182597,2.79849812266,0.0463856926931
0,35,0.791212748717,0.424000505251,3.66380522968,0.0787792955767
0,36,0.796845649477,0.465329846356,3.36868355558,0.0840756101245
0,37,0.799404783508,0.443037565573,3.63619874228,0.101293055529
0,38,0.792670416357,0.46865690288,3.2618533909,0.10222422757
0,39,0.800346509011,0.499758998594,3.11448841469,0.110298230999
0,40,0.786593972757,0.470876465157,3.13760137131,0.112662990439
0,41,0.789116581067,0.49252483867,2.9902329188,0.11563876336
0,42,0.792387726,0.537492339476,2.66793677876,0.118870691067
0,43,0.775211871618,0.412728938578,3.47564226281,0.122999118226
0,44,0.783857130351,0.4016523328,3.74563298492,0.116369428133
0,45,0.791449238853,0.468471499816,3.2420433578,0.121559643519
0,46,0.787848186485,0.437278418109,3.46901088141,0.120218645209
0,47,0.791483481975,0.491464151631,3.03774903619,0.122270894463
0,48,0.798304486047,0.554510403343,2.61766899384,0.111814043394
0,49,0.798793977021,0.54545890295,2.69807180895,0.114698884228
