energy,diameter,dfec_lynch,dfec_structure
20,7.9202020202,19707.7676535,9488.91019729
20,8.0,19673.362671,9404.70604838
21,0.166,620.043919593,145.482891552
21,0.261,979.971521536,234.056146231
21,0.507,1909.03331441,461.122281308
21,0.69,2599.24978603,631.645935418
21,0.89,3353.37916441,806.971798777
21,1.18,4446.6636223,1052.94424286
21,1.54,5803.7087868,1443.29521536
21,1.7,6406.8142501,1478.3864416
21,1.86,7009.9100869,1604.62022109
21,3.62,13640.9530939,2930.10105064
21,7.75,16932.7019077,7903.59988899
21,0.1,366.792788876,79.7866889002
21,0.179797979798,672.496486979,158.565061668
21,0.259595959596,974.652979179,232.745885849
21,0.339393939394,1276.41420271,306.561119139
21,0.419191919192,1577.64269434,379.530065162
21,0.49898989899,1878.80973207,453.332033051
21,0.578787878788,2179.81749101,527.501367674
21,0.658585858586,2480.78740248,598.653531692
21,0.738383838384,2781.70721832,667.36520414
21,0.818181818182,3082.59155542,751.545997308
21,0.89797979798,3383.46420724,811.437414871
21,0.977777777778,3684.306819,883.811995635
21,1.05757575758,3985.14907453,984.403052357
21,1.13737373737,4285.97000031,1035.47817818
21,1.21717171717,4586.79088158,1075.57710568
21,1.29696969697,4887.59962669,1162.71458956
21,1.37676767677,5188.40527067,1281.60083341
21,1.45656565657,5489.2061393,1384.29271775
21,1.53636363636,5790.00126845,1441.7497137
21,1.61616161616,6090.79602976,1461.91844571
21,1.69595959596,6391.58429204,1477.09657395
21,1.77575757576,6692.37368138,1518.97332818
21,1.85555555556,6993.15767727,1599.1402414
21,1.93535353535,7293.94222428,1710.22277542
21,2.01515151515,7594.72354931,1839.50495625
21,2.09494949495,7895.50394271,1973.47103358
21,2.17474747475,8196.28335092,2102.55433602
21,2.25454545455,8497.06048591,2216.09135214
21,2.33434343434,8797.83815977,2312.6533089
21,2.41414141414,9098.61300543,2385.1257599
21,2.49393939394,9399.38886084,2436.37028213
21,2.57373737374,9700.1622735,2470.6883
21,2.65353535354,10000.9362196,2481.00642469
21,2.73333333333,10301.7087978,2485.07606687
21,2.81313131313,10602.4808956,2483.14101287
21,2.89292929293,10903.2529264,2469.25896107
21,2.97272727273,11204.0234315,2462.21719569
21,3.05252525253,11504.7949311,2469.27535901
21,3.13232323232,11805.5642444,2479.85091137
21,3.21212121212,12106.3350576,2499.61867769
21,3.29191919192,12407.1036361,2543.86962698
21,3.37171717172,12707.8735395,2609.66379714
21,3.45151515152,13008.6417868,2690.21050909
21,3.53131313131,13309.4127642,2791.41972307
21,3.61111111111,13608.1536279,2915.50309562
21,3.69090909091,13897.6901554,3047.78249784
21,3.77070707071,14174.6214607,3182.88073253
21,3.85050505051,14437.4708697,3326.3142417
21,3.9303030303,14685.5959451,3474.63678992
21,4.0101010101,14918.8413232,3620.23636033
21,4.0898989899,15137.3492744,3763.46018251
21,4.1696969697,15341.4539642,3913.20109599
21,4.24949494949,15531.6109898,4072.37456948
21,4.32929292929,15708.3510298,4223.88650417
21,4.40909090909,15872.2489902,4348.80156855
21,4.48888888889,16023.9009612,4456.27463385
21,4.56868686869,16163.9099152,4575.20724299
21,4.64848484848,16292.8740407,4721.53448295
21,4.72828282828,16411.3799608,4887.66870462
21,4.80808080808,16519.9972199,5053.70949229
21,4.88787878788,16619.2751322,5196.09666952
21,4.96767676768,16709.7406273,5301.82129871
21,5.04747474747,16791.8970236,5384.00539148
21,5.12727272727,16866.223596,5469.82743187
21,5.20707070707,16933.1754799,5574.00851425
21,5.28686868687,16993.1840362,5690.21168858
21,5.36666666667,17046.6574235,5801.04931609
21,5.44646464646,17093.9813134,5894.47736544
21,5.52626262626,17135.5197873,5974.61259475
21,5.60606060606,17171.6162379,6057.86904555
21,5.68585858586,17202.594338,6160.06293713
21,5.76565656566,17228.7590685,6286.59259076
21,5.84545454545,17250.3975989,6433.18460804
21,5.92525252525,17267.7803599,6592.71412253
21,6.00505050505,17281.1618239,6754.50295838
21,6.08484848485,17290.7815799,6895.98325494
21,6.16464646465,17296.8650912,6983.36992884
21,6.24444444444,17299.6245864,6989.50846894
21,6.32424242424,17299.259773,6915.92888454
21,6.40404040404,17295.9585833,6798.7022801
21,6.48383838384,17289.8980225,6691.89828895
21,6.56363636364,17281.2446588,6642.99469477
21,6.64343434343,17270.155359,6677.60380067
21,6.72323232323,17256.7777801,6797.11926922
21,6.80303030303,17241.251114,6983.39866343
21,6.88282828283,17223.7063931,7206.15713778
21,6.96262626263,17204.2670747,7432.66869607
21,7.04242424242,17183.0495823,7638.50597789
21,7.12222222222,17160.1635834,7813.77952723
21,7.20202020202,17135.7124942,7959.71093689
21,7.28181818182,17109.7938308,8078.51669639
21,7.36161616162,17082.4996054,8165.85106672
21,7.44141414141,17053.9165228,8211.28938787
21,7.52121212121,17024.1265151,8204.47199256
21,7.60101010101,16993.2068187,8141.60272424
21,7.68080808081,16961.2303479,8029.03656389
21,7.76060606061,16928.266013,7883.0490454
21,7.8404040404,16894.3787723,7726.43644676
21,7.9202020202,16859.6300847,7583.83042618
21,8.0,16824.0779396,7477.4277305
22,0.166,565.235735482,133.081002286
22,0.261,892.901810266,213.564637801
22,0.507,1738.78647075,418.80416427
22,0.69,2367.40058876,570.90446409
22,0.89,3054.18828293,725.902648877
22,1.18,4049.88494329,948.925463666
22,1.54,5285.8062047,1270.56453367
22,1.7,5835.08275052,1324.06194583
22,1.86,6384.350959,1504.59211151
22,3.62,12386.1121179,2800.13340319
22,7.75,14578.8191066,6450.16071398
22,0.1,335.275674989,74.1095360549
22,0.179797979798,612.729730506,144.668488308
22,0.259595959596,888.055016923,212.37589553
22,0.339393939394,1162.67536195,279.292627609
22,0.419191919192,1437.06066779,346.095880365
22,0.49898989899,1711.27243193,412.884185226
22,0.578787878788,1985.422876,479.268262905
22,0.658585858586,2259.50177751,549.083441605
22,0.738383838384,2533.55941102,607.736729818
22,0.818181818182,2807.57936154,684.4117984
22,0.89797979798,3081.5911049,732.340054217
22,0.977777777778,3355.57985182,822.150810825
22,1.05757575758,3629.56545424,888.842844508
22,1.13737373737,3903.53562322,920.557722308
22,1.21717171717,4177.50486947,985.802558305
22,1.29696969697,4451.46311429,1090.57058301
22,1.37676767677,4725.42149443,1190.08129928
22,1.45656565657,4999.37168455,1249.13378391
22,1.53636363636,5273.32249357,1270.06310513
22,1.61616161616,5547.26697724,1283.37518072
22,1.69595959596,5821.21226891,1321.17245736
22,1.77575757576,6095.1525404,1395.33083584
22,1.85555555556,6369.09368166,1498.27628941
22,1.93535353535,6643.03076876,1617.26123961
22,2.01515151515,6916.96872864,1738.92906455
22,2.09494949495,7190.90336257,1854.16409655
22,2.17474747475,7464.83883047,1953.05913975
22,2.25454545455,7738.77152318,2035.0991566
