reconstructed,spectrum,min_pixel,max_pixel,particle_size,sample_thickness,description,csv
/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2015.10.19/S00000-00999/S00293_S00312.hdf5,source/data/theory/12-copper.csv,100,1000,0.166,12,sample thickness 12 mm source filter 1 mm Cu,source/data/rawdata/S00293_S00312.csv
/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2015.10.19/S00000-00999/S00314_S00333.hdf5,source/data/theory/12-copper.csv,100,1000,0.261,12,sample thickness 12 mm source filter 1 mm Cu,source/data/rawdata/S00314_S00333.csv
/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2015.10.19/S00000-00999/S00335_S00354.hdf5,source/data/theory/12-copper.csv,100,1000,0.507,12,sample thickness 12 mm source filter 1 mm Cu,source/data/rawdata/S00335_S00354.csv
/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2015.10.19/S00000-00999/S00356_S00375.hdf5,source/data/theory/12-copper.csv,100,1000,0.69,12,sample thickness 12 mm source filter 1 mm Cu,source/data/rawdata/S00356_S00375.csv
/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2015.10.19/S00000-00999/S00377_S00396.hdf5,source/data/theory/12-copper.csv,100,1000,0.89,12,sample thickness 12 mm source filter 1 mm Cu,source/data/rawdata/S00377_S00396.csv
/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2015.10.19/S00000-00999/S00398_S00417.hdf5,source/data/theory/12-copper.csv,100,1000,1.18,12,sample thickness 12 mm source filter 1 mm Cu,source/data/rawdata/S00398_S00417.csv
/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2015.10.19/S00000-00999/S00419_S00438.hdf5,source/data/theory/12-copper.csv,100,1000,1.54,12,sample thickness 12 mm source filter 1 mm Cu,source/data/rawdata/S00419_S00438.csv
/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2015.10.19/S00000-00999/S00440_S00459.hdf5,source/data/theory/12-copper.csv,100,1000,1.7,12,sample thickness 12 mm source filter 1 mm Cu,source/data/rawdata/S00440_S00459.csv
/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2015.10.19/S00000-00999/S00461_S00480.hdf5,source/data/theory/12-copper.csv,100,1000,1.86,12,sample thickness 12 mm source filter 1 mm Cu,source/data/rawdata/S00461_S00480.csv
/afs/psi.ch/project/hedpc/raw_data/2015/mythen/2015.10.19/S00000-00999/S00482_S00501.hdf5,source/data/theory/12-copper.csv,100,1000,7.75,12,sample thickness 12 mm source filter 1 mm Cu,source/data/rawdata/S00482_S00501.csv
